Domain,SubDomain,Capability,Component,Product ID
Security,Identity & Access Management,Access Management and Governance (Workforce),Policy Enforcement,ICTO-12739
Security,Identity & Access Management,Access Management and Governance (Workforce),Policy Enforcement,ICTO-23154
Security,Identity & Access Management,Access Management and Governance (Workforce),Policy Enforcement,ICTO-17464
Security,Identity & Access Management,Access Management and Governance (Workforce),Policy Enforcement,ICTO-4647
Security,End User System Security,Data Protection,Preboot OS-level encryption of physical or virtual device,ICTO-30030
Security,Identity & Access Management,Privilege Access Management,Privilege Elevation and Delegation Management,ICTO-26428
Security,Identity & Access Management,Privilege Access Management,Privilege Elevation and Delegation Management,ICTO-32534
Security,Identity & Access Management,Privilege Access Management,Privileged Access Review (PAR),ICTO-18844
Security,Identity & Access Management,Privilege Access Management,Privileged Access Review (PAR),ICTO-26377
Security,Identity & Access Management,Privilege Access Management,Privileged Access Review (PAR),ICTO-26006
Security,Identity & Access Management,Privilege Access Management,Privileged Access Review (PAR),ICTO-33262
Security,Application Security,Secure Development,"Process, Integration & Orchestration",ICTO-34085
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-33440
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-33433
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-33439
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-32272
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-33434
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-33435
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-31996
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-32060
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-33436
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-33437
Security,Cyber Security,Threat Defence Analysis,Red Teaming,ICTO-33438
Security,Application Security,Secure Integration,Release Management,ICTO-34107
Security,Network Security,Secure Network and Internet Access,Reverse Proxy Gateway,ICTO-33416
Security,Network Security,Secure Network and Internet Access,Reverse Proxy Gateway,ICTO-32266
Security,Network Security,Secure Network and Internet Access,Reverse Proxy Gateway,ICTO-27370
Security,Network Security,Secure Network and Internet Access,Reverse Proxy Gateway,ICTO-26091
Security,Network Security,Secure Network and Internet Access,Reverse Proxy Gateway,ICTO-9555
Security,Network Security,Secure Network and Internet Access,Reverse Proxy Gateway,ICTO-29980
Security,Network Security,Secure Network and Internet Access,Reverse Proxy Gateway,ICTO-27699
Security,Network Security,Secure Network and Internet Access,Reverse Proxy Gateway,ICTO-19541
Security,Network Security,Secure Network and Internet Access,Reverse Proxy Gateway,ICTO-17714
Security,GRC,Risk,Risk Culture,ICTO-34269
Security,GRC,Risk,Risk Culture,ICTO-31418
Security,Cyber Security,Fusion,Risk Engine,ICTO-34292
Security,GRC,Risk,Risk Management,ICTO-32563
Security,GRC,Risk,Risk Management,ICTO-33905
Security,Identity & Access Management,Authorisation,Role-based authorisation,ICTO-18844
Security,Application Security,Secure Environment,Root Cause Analysis,ICTO-33825
Security,Identity & Access Management,Authorisation,Rule-based authorisation,ICTO-20090
Security,Data Protection,Encryption & Key Management,Secrets Management,ICTO-32629
Security,Identity & Access Management,Credentials,Secrets Management - IDAM Specific,ICTO-34338
Security,Cyber Security,Attack Surface Reduction,Secure Configuration Scanning,ICTO-31122
Security,Cyber Security,Attack Surface Reduction,Secure Configuration Scanning,ICTO-19076
Security,Cyber Security,Attack Surface Reduction,Secure Configuration Scanning,ICTO-33159
Security,Cyber Security,Attack Surface Reduction,Secure Configuration Scanning,ICTO-23429
Security,GRC,Governance,Security Assurance,ICTO-31061
Security,GRC,Governance,Security Assurance,ICTO-32988
Security,GRC,Governance,Security Assurance,ICTO-34275
Security,GRC,Governance,Security Assurance,ICTO-20667
Security,Network Security,Network Security Management,Security Configuration Check,ICTO-24835
Security,Cyber Security,Security Analytics,Security Incident and Event Management (SIEM),ICTO-34007
Security,Cyber Security,Security Analytics,Security Incident and Event Management (SIEM),ICTO-33158
Security,Data Protection,Data Discovery,Sensitive Data Discovery,ICTO-32466
Security,Identity & Access Management,Authentication and Federation,Session Management,ICTO-18844
Security,Identity & Access Management,Authentication and Federation,Single Sign On (SSO),ICTO-32547
Security,Identity & Access Management,Authentication and Federation,Single Sign On (SSO),ICTO-26711
Security,Identity & Access Management,Authentication and Federation,Single Sign On (SSO),ICTO-9555
Security,Application Security,Secure Integration,Static Application Security Testing,ICTO-33850
Security,Data Protection,Structured Data Security,Structured Data Encryption,ICTO-13834
Security,Data Protection,Structured Data Security,Structured Data Encryption,ICTO-26629
Security,Data Protection,Structured Data Security,Structured Data Encryption,ICTO-19965
Security,Data Protection,Structured Data Security,Structured Data Encryption,ICTO-29637
Security,Data Protection,Structured Data Security,Structured Data Encryption,ICTO-12889
Security,Data Protection,Structured Data Security,Structured Data Encryption,ICTO-26341
Security,Data Protection,Structured Data Security,Structured Data Encryption,ICTO-31755
Security,Data Protection,Structured Data Security,Structured Data Encryption,ICTO-25755
Security,Data Protection,Structured Data Security,Structured Data Encryption,ICTO-31985
Security,Identity & Access Management,Privilege Access Management,Temporary Privileged Access (Planned & Unplanned),ICTO-31023
Security,Identity & Access Management,Privilege Access Management,Temporary Privileged Access (Planned & Unplanned),ICTO-31454
Security,Identity & Access Management,Privilege Access Management,Temporary Privileged Access (Planned & Unplanned),ICTO-18844
Security,Identity & Access Management,Privilege Access Management,Temporary Privileged Access (Planned & Unplanned),ICTO-30703
Security,Identity & Access Management,Privilege Access Management,Temporary Privileged Access (Planned & Unplanned),ICTO-27160
Security,Identity & Access Management,Privilege Access Management,Temporary Privileged Access (Planned & Unplanned),ICTO-31055
Security,Identity & Access Management,Privilege Access Management,Temporary Privileged Access (Planned & Unplanned),ICTO-33263
Security,End User System Security,Endpoint Protection,Third-Party Integration (API ext),ICTO-24526
Security,Cyber Security,Threat Defence Analysis,Threat Modelling,ICTO-31296
Security,Identity & Access Management,Authentication and Federation,Token Management,ICTO-19300
Security,Identity & Access Management,Authentication and Federation,Token Management,ICTO-28059
Security,Identity & Access Management,Authentication and Federation,Token Management,ICTO-4671
Security,Identity & Access Management,Authentication and Federation,Token Management,ICTO-29422
Security,Identity & Access Management,Authentication and Federation,Token Management,ICTO-29423
Security,Identity & Access Management,Authentication and Federation,Token Management,ICTO-28062
Security,Cyber Security,Attack Surface Reduction,Unauthorised Asset Detection,ICTO-33668
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-13834
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-26629
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-19965
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-19964
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-29637
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-17727
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-12889
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-26341
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-31755
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-25755
Security,Data Protection,Unstructured Data Security,Unstructured Data Encryption,ICTO-31985
Security,Network Security,Secure Network and Internet Access,URL Restriction,ICTO-33225
Security,Network Security,Secure Network and Internet Access,URL Restriction,ICTO-32443
Security,Network Security,Secure Network and Internet Access,URL Restriction,ICTO-23159
Security,Network Security,Secure Network and Internet Access,URL Restriction,ICTO-26204
Security,Network Security,Secure Network and Internet Access,URL Restriction,ICTO-20167
Security,Network Security,Secure Network and Internet Access,URL Restriction,ICTO-28394
Security,Network Security,Secure Network and Internet Access,URL Restriction,ICTO-18749
Security,Network Security,Secure Network and Internet Access,URL Restriction,ICTO-18751
Security,Cyber Security,Security Analytics,User Entity and Behaviour Analysis,ICTO-32007
Security,Cyber Security,Security Analytics,User Entity and Behaviour Analysis,ICTO-30585
Security,Cyber Security,Security Analytics,User Entity and Behaviour Analysis,ICTO-32172
Security,End User System Security,Endpoint Protection,Vulnerability Assessment and Management,ICTO-31247
Security,End User System Security,Endpoint Protection,Vulnerability Assessment and Management,ICTO-17574
Security,Cyber Security,Attack Surface Reduction,Vulnerability Scanning,ICTO-32648
Security,Cyber Security,Attack Surface Reduction,Vulnerability Scanning,ICTO-31122
Security,Cyber Security,Attack Surface Reduction,Vulnerability Scanning,ICTO-33020
Security,Cyber Security,Attack Surface Reduction,Vulnerability Scanning,ICTO-4359
Security,Cyber Security,Attack Surface Reduction,Vulnerability Scanning,ICTO-30321
Security,Cyber Security,Attack Surface Reduction,Vulnerability Scanning,ICTO-26502
Security,Data Protection,Data Usage Monitoring,Web DLP,ICTO-27140
Security,Data Protection,Data Usage Monitoring,Web DLP,ICTO-18808
Security,Data Protection,Data Usage Monitoring,Web DLP,ICTO-33271
Security,Data Protection,Data Usage Monitoring,Web DLP,ICTO-32912
Security,Cyber Security,Security Orchestration and Automation,Workflow and Automation,ICTO-32273
Security,Cyber Security,Security Orchestration and Automation,Workflow and Automation,ICTO-31297
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identifier Generation (Internal Users),ICTO-27159
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identifier Generation (Internal Users),ICTO-9240
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identifier Generation (Internal Users),ICTO-9519
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-30256
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-31023
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-24629
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-26815
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-29622
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-372
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-31987
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-17861
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-29596
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity and Access Object Distribution,ICTO-9525
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Lifecycle Management and Identity Data Provision,ICTO-27159
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Lifecycle Management and Identity Data Provision,ICTO-9240
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Lifecycle Management and Identity Data Provision,ICTO-31987
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Lifecycle Management and Identity Data Provision,ICTO-19493
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Lifecycle Management and Identity Data Provision,ICTO-32530
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Lifecycle Management and Identity Data Provision,ICTO-32380
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Lifecycle Management and Identity Data Provision,ICTO-34174
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Provisioning,ICTO-30256
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Provisioning,ICTO-26815
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Provisioning,ICTO-29622
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Provisioning,ICTO-27159
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Provisioning,ICTO-9240
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-17700
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-32590
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-24629
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-27446
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-12419
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-11383
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-17718
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-25741
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-14094
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-33226
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-34148
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-33269
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-33270
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-33268
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-33267
Security,Identity & Access Management,Identity Management (Workforce),Workforce Identity Repository,ICTO-26466
Security,Identity & Access Management,Identity Management (Workforce),"Workforce Identity Request, Modification and Deletion",ICTO-32108
Security,Identity & Access Management,Identity Management (Workforce),"Workforce Identity Request, Modification and Deletion",ICTO-27159
Security,Identity & Access Management,Identity Management (Workforce),"Workforce Identity Request, Modification and Deletion",ICTO-9240
Security,Identity & Access Management,Identity Management (Workforce),"Workforce Identity Request, Modification and Deletion",ICTO-9519
Security,Identity & Access Management,Identity Management (Workforce),Workforce User Onboarding and Identity Creation,ICTO-27159
Security,Identity & Access Management,Identity Management (Workforce),Workforce User Onboarding and Identity Creation,ICTO-9240
Security,Identity & Access Management,Identity Management (Workforce),Workforce User Onboarding and Identity Creation,ICTO-9519
